Year,Env,Harvest,Planting_date,Block,biomass_Kg_response,N_uptake_Kg_response,growth_stage,GDD_Fall_C,GDD_T_C
year1,Minnesota,earlyapril,earlyplanting1,block1,6750,184,39,726,1021
year1,Minnesota,earlyapril,earlyplanting1,block2,4539,201,39,726,1021
year1,Minnesota,earlyapril,earlyplanting1,block3,6867,230,39,726,1021
year1,Minnesota,earlyapril,earlyplanting1,block4,3084,141,39,726,1021
year1,Minnesota,earlyapril,earlyplanting2,block1,9544,327,39,499,794
year1,Minnesota,earlyapril,earlyplanting2,block2,5587,178,33,499,794
year1,Minnesota,earlyapril,earlyplanting2,block3,7565,242,39,499,794
year1,Minnesota,earlyapril,earlyplanting2,block4,4306,135,39,499,794
year1,Minnesota,earlyapril,checkplanting,block1,3492,151,33,309,604
year1,Minnesota,earlyapril,checkplanting,block2,2619,107,39,309,604
year1,Minnesota,earlyapril,checkplanting,block3,3550,159,39,309,604
year1,Minnesota,earlyapril,checkplanting,block4,3375,158,39,309,604
year1,Minnesota,earlyapril,lateplanting1,block1,1455,77,30,182,526
year1,Minnesota,earlyapril,lateplanting1,block2,1513,66,31,182,526
year1,Minnesota,earlyapril,lateplanting1,block3,1455,71,33,182,526
year1,Minnesota,earlyapril,lateplanting1,block4,2095,111,31,182,526
year1,Minnesota,earlyapril,lateplanting2,block1,582,35,25,86,380
year1,Minnesota,earlyapril,lateplanting2,block2,757,44,25,86,380
year1,Minnesota,earlyapril,lateplanting2,block3,582,33,22,86,380
year1,Minnesota,earlyapril,lateplanting2,block4,407,26,30,86,380
year1,Minnesota,lateapril,earlyplanting1,block1,5354,105,59,726,1255
year1,Minnesota,lateapril,earlyplanting1,block2,21823,541,59,726,1255
year1,Minnesota,lateapril,earlyplanting1,block3,4888,107,59,726,1255
year1,Minnesota,lateapril,earlyplanting1,block4,19786,593,59,726,1255
year1,Minnesota,lateapril,earlyplanting2,block1,9427,187,59,499,1028
year1,Minnesota,lateapril,earlyplanting2,block2,14781,316,59,499,1028
year1,Minnesota,lateapril,earlyplanting2,block3,10009,210,59,499,1028
