Cross_type,Group,Row,Block,Rep,Variety_Cross,Sex,height_m,circum_cm,height_first_fruit_m,Thrips_rating
intercross,1,1,1,1,Big_Island_x_Laie_Gold,F,NA,NA,NA,1
intercross,1,1,2,2,Big_Island_x_Laie_Gold,H,2.69,37.5,1.02,1
intercross,1,1,3,3,Big_Island_x_Laie_Gold,H,2.6,36,1.24,1
intercross,1,1,4,4,Big_Island_x_Laie_Gold,H,2.43,34.1,1.13,1
intercross,1,1,5,5,Big_Island_x_Laie_Gold,H,2.68,39.4,1.09,1
intercross,1,1,6,6,Big_Island_x_Laie_Gold,F,NA,NA,NA,2
intercross,1,1,7,7,Big_Island_x_Laie_Gold,H,2.41,42.8,0.99,1
intercross,1,1,8,8,Big_Island_x_Laie_Gold,H,2.55,40.9,1.1,1
intercross,1,1,9,9,Big_Island_x_Laie_Gold,F,NA,NA,NA,1
intercross,1,1,10,10,Big_Island_x_Laie_Gold,H,2.71,42.9,1.06,2
inbred,1,1,1,1,Sekaki,H,1.92,35.8,0.56,0.5
inbred,1,1,2,2,Sekaki,H,1.85,34.4,0.65,0.5
inbred,1,1,3,3,Sekaki,H,2,38.7,0.8,1
inbred,1,1,4,4,Sekaki,H,1.87,34.1,0.75,1
inbred,1,1,5,5,Sekaki,H,1.97,35.2,0.97,0.5
inbred,1,1,6,6,Sekaki,F,NA,NA,NA,1
inbred,1,1,7,7,Sekaki,F,NA,NA,NA,2
inbred,1,1,8,8,Sekaki,H,2.08,34,0.85,1
inbred,1,1,9,9,Sekaki,H,2.1,37.2,0.73,1
inbred,1,1,10,10,Sekaki,H,1.67,32.8,0.57,1
F1,1,1,1,1,Big_Island_x_Sekaki,F,NA,NA,NA,0
F1,1,1,2,2,Big_Island_x_Sekaki,F,NA,NA,NA,0.5
F1,1,1,3,3,Big_Island_x_Sekaki,H,2.66,46.8,1.07,0
F1,1,1,4,4,Big_Island_x_Sekaki,H,2.92,41.4,1.18,0
F1,1,1,5,5,Big_Island_x_Sekaki,F,NA,NA,NA,0.5
F1,1,1,6,6,Big_Island_x_Sekaki,H,3.02,47.6,1.15,0.5
F1,1,1,7,7,Big_Island_x_Sekaki,H,2.95,50.1,1.17,0
F1,1,1,8,8,Big_Island_x_Sekaki,F,NA,NA,NA,0
F1,1,1,9,9,Big_Island_x_Sekaki,H,2.83,51.3,1.09,0.5
F1,1,1,10,10,Big_Island_x_Sekaki,H,2.61,46.5,1.52,0
inbred,1,2,1,1,Big_Island,H,2.37,39,1.36,1
inbred,1,2,2,2,Big_Island,F,NA,NA,NA,0.5
inbred,1,2,3,3,Big_Island,H,2.33,32.5,1.24,0
inbred,1,2,4,4,Big_Island,H,2.39,34.5,1.25,1
inbred,1,2,5,5,Big_Island,H,2.4,35,1.45,1
inbred,1,2,6,6,Big_Island,H,2.22,26.5,1.84,1
inbred,1,2,7,7,Big_Island,F,NA,NA,NA,1
inbred,1,2,8,8,Big_Island,H,2.48,38.5,1.45,0.5
inbred,1,2,9,9,Big_Island,H,2.31,32.5,1.51,0.5
inbred,1,2,10,10,Big_Island,H,2.3,28.5,1.76,0.5
F1,1,2,1,1,Sekaki_x_Kapoho-L8,H,2.34,33,1.1,0.5
F1,1,2,2,2,Sekaki_x_Kapoho-L8,H,2.32,38.5,0.89,0.5
F1,1,2,3,3,Sekaki_x_Kapoho-L8,H,2.52,34,1.02,0.5
F1,1,2,4,4,Sekaki_x_Kapoho-L8,F,NA,NA,NA,1
F1,1,2,5,5,Sekaki_x_Kapoho-L8,H,2.2,33,1.06,1
F1,1,2,6,6,Sekaki_x_Kapoho-L8,F,NA,NA,NA,1
F1,1,2,7,7,Sekaki_x_Kapoho-L8,H,2.63,37,1.03,0.5
F1,1,2,8,8,Sekaki_x_Kapoho-L8,F,NA,NA,NA,1
F1,1,2,9,9,Sekaki_x_Kapoho-L8,H,2.62,29.5,1.11,1
F1,1,2,10,10,Sekaki_x_Kapoho-L8,F,NA,NA,NA,0.5
inbred,1,2,1,1,Kapoho,H,3.12,43.5,1.33,1.5
inbred,1,2,2,2,Kapoho,H,3.13,41,1.51,1
inbred,1,2,3,3,Kapoho,H,3.07,36.5,1.88,1
inbred,1,2,4,4,Kapoho,H,3,36,1.98,1
inbred,1,2,5,5,Kapoho,H,2.96,45,1.37,1
inbred,1,2,6,6,Kapoho,H,2.78,39.5,1.66,2
F1,1,2,1,1,Sekaki_x_Kapoho,F,NA,NA,NA,1
F1,1,2,2,2,Sekaki_x_Kapoho,H,2.52,45.5,0.93,1
F1,1,2,3,3,Sekaki_x_Kapoho,F,NA,NA,NA,1
F1,1,2,4,4,Sekaki_x_Kapoho,H,2.19,37,1.08,1
F1,1,2,5,5,Sekaki_x_Kapoho,H,2.42,45.5,0.99,1
F1,1,3,1,1,Big_Island_x_Kapoho,F,NA,NA,NA,2
F1,1,3,2,2,Big_Island_x_Kapoho,H,2.76,34.2,1.44,1
F1,1,3,3,3,Big_Island_x_Kapoho,F,NA,NA,NA,1
F1,1,3,4,4,Big_Island_x_Kapoho,F,NA,NA,NA,1.5
F1,1,3,5,5,Big_Island_x_Kapoho,H,2.98,36.5,1.36,2
F1,1,3,6,6,Big_Island_x_Kapoho,F,NA,NA,NA,1
F1,1,3,7,7,Big_Island_x_Kapoho,F,NA,NA,NA,1
F1,1,3,8,8,Big_Island_x_Kapoho,F,NA,NA,NA,1
F1,1,3,9,9,Big_Island_x_Kapoho,H,2.65,29.4,1.65,1.5
F1,1,3,10,10,Big_Island_x_Kapoho,F,NA,NA,NA,1
inbred,1,3,1,1,Sunrise,F,NA,NA,NA,3
inbred,1,3,2,2,Sunrise,H,2.95,31.8,1.27,2.5
inbred,1,3,3,3,Sunrise,H,2.82,31.2,0.92,2
inbred,1,3,4,4,Sunrise,F,NA,NA,NA,3
inbred,1,3,5,5,Sunrise,H,2.84,31.5,1.07,2.5
inbred,1,3,6,6,Sunrise,H,3,35.1,1.05,2
inbred,1,3,7,7,Sunrise,H,3.07,34.6,1.39,2
inbred,1,3,8,8,Sunrise,F,NA,NA,NA,2.5
inbred,1,3,9,9,Sunrise,H,2.83,39.6,1.5,1.5
inbred,1,3,10,10,Sunrise,H,2.98,34.4,1.1,2
intercross,1,3,1,1,Sekaki_x_Laie_Gold,H,2.43,38,0.95,0.5
intercross,1,3,2,2,Sekaki_x_Laie_Gold,H,2.32,34.4,0.91,0.5
intercross,1,3,3,3,Sekaki_x_Laie_Gold,H,1.82,35.3,0.72,0
intercross,1,3,4,4,Sekaki_x_Laie_Gold,F,NA,NA,NA,1
intercross,1,3,5,5,Sekaki_x_Laie_Gold,H,2.42,33.9,0.91,0.5
intercross,1,3,6,6,Sekaki_x_Laie_Gold,H,2.56,37.1,0.96,1
intercross,1,3,7,7,Sekaki_x_Laie_Gold,H,2.47,40.6,0.81,1
intercross,1,3,8,8,Sekaki_x_Laie_Gold,H,2.44,39.5,1.01,0.5
intercross,1,3,9,9,Sekaki_x_Laie_Gold,H,2.42,39.7,0.98,0.5
intercross,1,3,10,10,Sekaki_x_Laie_Gold,F,NA,NA,NA,1
inbred,2,4,1,1,SunUp,H,2.74,37.4,1.14,2
inbred,2,4,2,2,SunUp,H,2.56,34.5,0.96,2
inbred,2,4,3,3,SunUp,H,2.74,39,0.9,2
inbred,2,4,4,4,SunUp,F,NA,NA,NA,1
inbred,2,4,5,5,SunUp,H,2.78,33,0.96,1
inbred,2,4,6,6,SunUp,H,2.88,36.3,0.98,2
inbred,2,4,7,7,SunUp,F,NA,NA,NA,1
inbred,2,4,8,8,SunUp,F,NA,NA,NA,2
inbred,2,4,9,9,SunUp,H,2.79,40.5,1.03,2
inbred,2,4,10,10,SunUp,F,NA,NA,NA,3
F2,2,4,1,1,Laie_Gold_F2,F,NA,NA,NA,2
F2,2,4,2,2,Laie_Gold_F2,F,NA,NA,NA,2
F2,2,4,3,3,Laie_Gold_F2,H,2.67,36.8,0.87,2
F2,2,4,4,4,Laie_Gold_F2,F,NA,NA,NA,2
F2,2,4,5,5,Laie_Gold_F2,H,2.42,31.5,0.86,1
F2,2,4,6,6,Laie_Gold_F2,H,2.74,42,0.82,2
F2,2,4,7,7,Laie_Gold_F2,H,2.49,30.7,0.83,2
F2,2,4,8,8,Laie_Gold_F2,H,2.38,37.2,0.74,1
F2,2,4,9,9,Laie_Gold_F2,H,2.52,35.6,0.94,1
F2,2,4,10,10,Laie_Gold_F2,H,2.63,34.6,0.93,1
inbred,2,4,1,1,Line_34,H,2.72,36,0.95,2
inbred,2,4,2,2,Line_34,H,2.69,41,0.98,3
inbred,2,4,3,3,Line_34,H,2.6,40.4,1.3,2
inbred,2,4,4,4,Line_34,F,NA,NA,NA,2
inbred,2,4,5,5,Line_34,H,2.82,42.7,1.08,3
inbred,2,4,6,6,Line_34,F,NA,NA,NA,3
inbred,2,4,7,7,Line_34,H,2.66,39.8,1.12,3
inbred,2,4,8,8,Line_34,H,2.82,46,1.19,2
inbred,2,4,9,9,Line_34,H,2.68,44.8,1.06,2
inbred,2,4,10,10,Line_34,H,2.68,51.3,0.9,2
inbred,2,5,1,1,Kapoho-L8,H,2.18,33.3,0.95,2
intercross,2,5,1,1,[34_x_Sk_F1]_x_LG_F1,F,NA,NA,NA,2
intercross,2,5,2,2,[34_x_Sk_F1]_x_LG_F1,F,NA,NA,NA,2
intercross,2,5,3,3,[34_x_Sk_F1]_x_LG_F1,F,NA,NA,NA,2
intercross,2,5,4,4,[34_x_Sk_F1]_x_LG_F1,H,2.05,23.4,1.32,1
intercross,2,5,5,5,[34_x_Sk_F1]_x_LG_F1,H,2.35,32.4,0.98,1
intercross,2,5,6,6,[34_x_Sk_F1]_x_LG_F1,F,NA,NA,NA,1
intercross,2,5,7,7,[34_x_Sk_F1]_x_LG_F1,H,2.42,31.5,0.92,1
intercross,2,5,8,8,[34_x_Sk_F1]_x_LG_F1,H,2.18,36.7,0.88,1
intercross,2,5,9,9,[34_x_Sk_F1]_x_LG_F1,H,2.52,37.9,1,2
inbred,2,5,1,1,Line_58,F,NA,NA,NA,2
inbred,2,5,2,2,Line_58,H,2.32,36.5,1.2,2
inbred,2,5,3,3,Line_58,H,2.45,40.7,1.2,2
inbred,2,5,4,4,Line_58,H,2.02,37.5,0.8,2
inbred,2,5,5,5,Line_58,H,2.3,35.5,0.98,2
inbred,2,5,6,6,Line_58,H,2.54,40.8,1.05,3
inbred,2,5,7,7,Line_58,H,2.59,39.4,1.32,3
inbred,2,5,8,8,Line_58,H,2.55,45,1,2
inbred,2,5,9,9,Line_58,F,NA,NA,NA,3
inbred,2,5,10,10,Line_58,H,2.68,40.7,1.1,3
F1,2,5,1,1,Sekaki_x_Sunset,F,NA,NA,NA,2
F1,2,5,2,2,Sekaki_x_Sunset,H,2.72,45.5,0.93,2
F1,2,5,3,3,Sekaki_x_Sunset,F,NA,NA,NA,2
F1,2,5,4,4,Sekaki_x_Sunset,F,NA,NA,NA,1
F1,2,5,5,5,Sekaki_x_Sunset,H,2.7,41.5,1.1,1
F1,2,5,6,6,Sekaki_x_Sunset,H,2.8,46,0.95,1
F1,2,5,7,7,Sekaki_x_Sunset,H,2.48,32.6,1.23,1
F1,2,5,8,8,Sekaki_x_Sunset,H,2.49,41.5,0.91,1
F1,2,5,9,9,Sekaki_x_Sunset,H,2.58,39,1.05,1
F1,2,5,10,10,Sekaki_x_Sunset,H,2.74,51,1.04,1
F1,2,6,1,1,Big_Island_x_Sunset,H,2,32.1,1.3,1
F1,2,6,2,2,Big_Island_x_Sunset,F,NA,NA,NA,2
F1,2,6,3,3,Big_Island_x_Sunset,H,2.5,41.2,1.25,2
F1,2,6,4,4,Big_Island_x_Sunset,F,NA,NA,NA,2
F1,2,6,5,5,Big_Island_x_Sunset,H,2.5,34.8,1.25,2
F1,2,6,6,6,Big_Island_x_Sunset,H,2.33,35.9,1.24,1
F1,2,6,7,7,Big_Island_x_Sunset,F,NA,NA,NA,2
F1,2,6,8,8,Big_Island_x_Sunset,F,NA,NA,NA,2
F1,2,6,9,9,Big_Island_x_Sunset,H,2.62,40.2,1.35,2
F1,2,6,10,10,Big_Island_x_Sunset,H,2.72,45.1,1.18,2
F1,2,6,1,1,SunUp_x_Kapoho,F,NA,NA,NA,3
F1,2,6,2,2,SunUp_x_Kapoho,F,NA,NA,NA,3
F1,2,6,3,3,SunUp_x_Kapoho,H,2.8,40.1,1.5,2
F1,2,6,4,4,SunUp_x_Kapoho,H,2.92,37.7,1.85,2
F1,2,6,5,5,SunUp_x_Kapoho,F,NA,NA,NA,2
F1,2,6,6,6,SunUp_x_Kapoho,F,NA,NA,NA,2
F1,2,6,7,7,SunUp_x_Kapoho,H,3.08,44.9,1.23,2
F1,2,6,8,8,SunUp_x_Kapoho,H,3.12,43.2,1.8,2
F1,2,6,9,9,SunUp_x_Kapoho,H,2.62,41.7,1.2,2
F1,2,6,10,10,SunUp_x_Kapoho,H,3,42.1,1.1,2
intercross,2,6,1,1,[34_x_Sk_F1]_x_LG_F1,F,NA,NA,NA,2
intercross,2,6,2,2,[34_x_Sk_F1]_x_LG_F1,H,2.48,44.1,1.1,2
intercross,2,6,3,3,[34_x_Sk_F1]_x_LG_F1,F,NA,NA,NA,2
intercross,2,6,4,4,[34_x_Sk_F1]_x_LG_F1,F,NA,NA,NA,2
intercross,2,6,5,5,[34_x_Sk_F1]_x_LG_F1,H,2.38,44.9,0.92,1
intercross,2,6,6,6,[34_x_Sk_F1]_x_LG_F1,F,NA,NA,NA,2
intercross,2,6,7,7,[34_x_Sk_F1]_x_LG_F1,H,2.15,34.5,1,2
intercross,2,6,8,8,[34_x_Sk_F1]_x_LG_F1,H,2.5,37.4,0.83,1
