Trt,Calories
one,435.16
one,338.99
one,488.73
one,590.28
one,582.59
one,635.21
one,249.86
one,441.66
one,572.43
one,357.78
one,396.79
one,298.38
one,282.99
one,368.51
one,388.59
one,256.32
one,408.82
one,424.94
one,477.96
one,428.74
one,432.52
one,428.27
one,596.79
one,456.3
one,446.38
two,414.61
two,503.46
two,425.22
two,288.77
two,184
two,299.73
two,350.65
two,394.94
two,261.55
two,295.28
two,139.69
two,462.78
two,179.59
two,301.75
two,436.58
two,371.39
two,469.02
two,378.09
two,287.31
two,448.55
two,332.64
two,403.98
