Trt,Rep,biomass_Kg,growth_stage,N_uptake_Kg,GDD_Fall_C,GDD_T_C
earlyplanting1,rep1,6750,39,184,726,1021
earlyplanting1,rep2,4539,39,201,726,1021
earlyplanting1,rep3,6867,39,230,726,1021
earlyplanting1,rep4,3084,39,141,726,1021
earlyplanting2,rep1,9544,39,327,499,794
earlyplanting2,rep2,5587,33,178,499,794
earlyplanting2,rep3,7565,39,242,499,794
earlyplanting2,rep4,4306,39,135,499,794
normalplanting,rep1,3492,33,151,309,604
normalplanting,rep2,2619,39,107,309,604
normalplanting,rep3,3550,39,159,309,604
normalplanting,rep4,3375,39,158,309,604
lateplanting1,rep1,1455,30,77,182,526
lateplanting1,rep2,1513,31,66,182,526
lateplanting1,rep3,1455,33,71,182,526
lateplanting1,rep4,2095,31,111,182,526
lateplanting2,rep1,582,25,35,86,380
lateplanting2,rep2,757,25,44,86,380
lateplanting2,rep3,582,22,33,86,380
lateplanting2,rep4,407,30,26,86,380
